code,provincie,2013,2014,2015,2016,2017,2018
NED,Nederland,157920,150080,152220,141700,139940,148900
GR,Groningen (PV),3780,3440,3500,3380,3240,3840
FR,Friesland (PV),4620,4180,4040,3260,3180,3580
DR,Drenthe (PV),4480,4140,3600,3240,2900,3320
OV,Overijssel (PV),9220,8440,7760,7340,7400,7800
FL,Flevoland (PV),3500,3060,3200,3100,2840,3180
GL,Gelderland (PV),16460,14600,15520,14660,14840,15180
UT,Utrecht (PV),10660,10080,9500,8580,8720,9160
NH,Noord-Holland (PV),31200,31760,34400,32460,33040,35200
ZH,Zuid-Holland (PV),42620,39580,40340,36960,36100,38360
ZL,Zeeland (PV),3220,3020,3120,3380,3580,4080
NB,Noord-Brabant (PV),19080,18320,18040,16240,16120,17120
LB,Limburg (PV),8940,9360,9080,9040,7940,8020
