code,provincie,jaar,aantal
NED,Nederland,2009,16485787
NED,Nederland,2010,16574989
NED,Nederland,2011,16655799
NED,Nederland,2012,16730348
NED,Nederland,2013,16779575
NED,Nederland,2014,16829289
NED,Nederland,2015,16900726
NED,Nederland,2016,16979120
NED,Nederland,2017,17081507
NED,Nederland,2018,17181084
GR,Groningen (PV),2009,574092
GR,Groningen (PV),2010,576668
GR,Groningen (PV),2011,579036
GR,Groningen (PV),2012,580875
GR,Groningen (PV),2013,581705
GR,Groningen (PV),2014,582728
GR,Groningen (PV),2015,583942
GR,Groningen (PV),2016,583721
GR,Groningen (PV),2017,583581
GR,Groningen (PV),2018,582944
FR,Friesland (PV),2009,644811
FR,Friesland (PV),2010,646305
FR,Friesland (PV),2011,647282
FR,Friesland (PV),2012,647214
FR,Friesland (PV),2013,646862
FR,Friesland (PV),2014,646317
FR,Friesland (PV),2015,646257
FR,Friesland (PV),2016,646040
FR,Friesland (PV),2017,646874
FR,Friesland (PV),2018,647268
DR,Drenthe (PV),2009,489918
DR,Drenthe (PV),2010,490981
DR,Drenthe (PV),2011,491411
DR,Drenthe (PV),2012,490807
DR,Drenthe (PV),2013,489918
DR,Drenthe (PV),2014,488988
DR,Drenthe (PV),2015,488576
DR,Drenthe (PV),2016,488629
DR,Drenthe (PV),2017,491792
DR,Drenthe (PV),2018,492100
OV,Overijssel (PV),2009,1125435
OV,Overijssel (PV),2010,1130345
OV,Overijssel (PV),2011,1134465
OV,Overijssel (PV),2012,1137668
OV,Overijssel (PV),2013,1139350
OV,Overijssel (PV),2014,1139697
OV,Overijssel (PV),2015,1140652
OV,Overijssel (PV),2016,1144280
OV,Overijssel (PV),2017,1147687
OV,Overijssel (PV),2018,1151501
FL,Flevoland (PV),2009,383449
FL,Flevoland (PV),2010,387881
FL,Flevoland (PV),2011,391967
FL,Flevoland (PV),2012,395525
FL,Flevoland (PV),2013,398441
FL,Flevoland (PV),2014,399893
FL,Flevoland (PV),2015,401791
FL,Flevoland (PV),2016,404068
FL,Flevoland (PV),2017,407818
FL,Flevoland (PV),2018,411670
GL,Gelderland (PV),2009,1991062
GL,Gelderland (PV),2010,1998936
GL,Gelderland (PV),2011,2004671
GL,Gelderland (PV),2012,2010745
GL,Gelderland (PV),2013,2015791
GL,Gelderland (PV),2014,2019692
GL,Gelderland (PV),2015,2026578
GL,Gelderland (PV),2016,2035351
GL,Gelderland (PV),2017,2047901
GL,Gelderland (PV),2018,2060103
UT,Utrecht (PV),2009,1210869
UT,Utrecht (PV),2010,1220910
UT,Utrecht (PV),2011,1228794
UT,Utrecht (PV),2012,1237117
UT,Utrecht (PV),2013,1245294
UT,Utrecht (PV),2014,1253672
UT,Utrecht (PV),2015,1263572
UT,Utrecht (PV),2016,1273613
UT,Utrecht (PV),2017,1284504
UT,Utrecht (PV),2018,1295484
NH,Noord-Holland (PV),2009,2646445
NH,Noord-Holland (PV),2010,2669084
NH,Noord-Holland (PV),2011,2691477
NH,Noord-Holland (PV),2012,2709822
NH,Noord-Holland (PV),2013,2724300
NH,Noord-Holland (PV),2014,2741369
NH,Noord-Holland (PV),2015,2761929
NH,Noord-Holland (PV),2016,2784854
NH,Noord-Holland (PV),2017,2809483
NH,Noord-Holland (PV),2018,2831182
ZH,Zuid-Holland (PV),2009,3481558
ZH,Zuid-Holland (PV),2010,3505611
ZH,Zuid-Holland (PV),2011,3528324
ZH,Zuid-Holland (PV),2012,3552407
ZH,Zuid-Holland (PV),2013,3563935
ZH,Zuid-Holland (PV),2014,3577032
ZH,Zuid-Holland (PV),2015,3600011
ZH,Zuid-Holland (PV),2016,3622303
ZH,Zuid-Holland (PV),2017,3650222
ZH,Zuid-Holland (PV),2018,3681044
ZL,Zeeland (PV),2009,380984
ZL,Zeeland (PV),2010,381409
ZL,Zeeland (PV),2011,381530
ZL,Zeeland (PV),2012,381407
ZL,Zeeland (PV),2013,381077
ZL,Zeeland (PV),2014,380621
ZL,Zeeland (PV),2015,380726
ZL,Zeeland (PV),2016,381252
ZL,Zeeland (PV),2017,381568
ZL,Zeeland (PV),2018,382304
NB,Noord-Brabant (PV),2009,2434560
NB,Noord-Brabant (PV),2010,2444158
NB,Noord-Brabant (PV),2011,2454215
NB,Noord-Brabant (PV),2012,2463686
NB,Noord-Brabant (PV),2013,2471011
NB,Noord-Brabant (PV),2014,2479274
NB,Noord-Brabant (PV),2015,2488751
NB,Noord-Brabant (PV),2016,2498749
NB,Noord-Brabant (PV),2017,2512531
NB,Noord-Brabant (PV),2018,2528286
LB,Limburg (PV),2009,1122604
LB,Limburg (PV),2010,1122701
LB,Limburg (PV),2011,1122627
LB,Limburg (PV),2012,1123075
LB,Limburg (PV),2013,1121891
LB,Limburg (PV),2014,1120006
LB,Limburg (PV),2015,1117941
LB,Limburg (PV),2016,1116260
LB,Limburg (PV),2017,1117546
LB,Limburg (PV),2018,1117198
