code,provincie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NED,Nederland,16485787,16574989,16655799,16730348,16779575,16829289,16900726,16979120,17081507,17181084
GR,Groningen (PV),574092,576668,579036,580875,581705,582728,583942,583721,583581,582944
FR,Friesland (PV),644811,646305,647282,647214,646862,646317,646257,646040,646874,647268
DR,Drenthe (PV),489918,490981,491411,490807,489918,488988,488576,488629,491792,492100
OV,Overijssel (PV),1125435,1130345,1134465,1137668,1139350,1139697,1140652,1144280,1147687,1151501
FL,Flevoland (PV),383449,387881,391967,395525,398441,399893,401791,404068,407818,411670
GL,Gelderland (PV),1991062,1998936,2004671,2010745,2015791,2019692,2026578,2035351,2047901,2060103
UT,Utrecht (PV),1210869,1220910,1228794,1237117,1245294,1253672,1263572,1273613,1284504,1295484
NH,Noord-Holland (PV),2646445,2669084,2691477,2709822,2724300,2741369,2761929,2784854,2809483,2831182
ZH,Zuid-Holland (PV),3481558,3505611,3528324,3552407,3563935,3577032,3600011,3622303,3650222,3681044
ZL,Zeeland (PV),380984,381409,381530,381407,381077,380621,380726,381252,381568,382304
NB,Noord-Brabant (PV),2434560,2444158,2454215,2463686,2471011,2479274,2488751,2498749,2512531,2528286
LB,Limburg (PV),1122604,1122701,1122627,1123075,1121891,1120006,1117941,1116260,1117546,1117198
