code,provincie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NED,Nederland,10288216,10396746,10522896,10656190,10704447,10706674,10757655,10908581,11076215,11287017
GR,Groningen (PV),350643,355711,359850,364045,364765,364141,365263,368571,373359,379210
FR,Friesland (PV),422204,429494,436011,441931,444861,445589,448283,454000,461927,471583
DR,Drenthe (PV),346197,350904,356980,361564,360437,360796,361465,364641,369931,374906
OV,Overijssel (PV),726311,736009,747838,758823,762523,759959,764141,773826,786317,803909
FL,Flevoland (PV),382353,385084,389158,401075,409506,405388,406452,419827,425744,441940
GL,Gelderland (PV),1266695,1284730,1298221,1315192,1324253,1325036,1333857,1352785,1376156,1404297
UT,Utrecht (PV),768370,775953,784625,791331,809626,809485,818783,831059,841301,860348
NH,Noord-Holland (PV),1464336,1469584,1479638,1489775,1496552,1497864,1503826,1531437,1555347,1579307
ZH,Zuid-Holland (PV),1901904,1922122,1943320,1967859,1961386,1959767,1963586,1985575,2016638,2055039
ZL,Zeeland (PV),252773,256714,260913,264674,266460,267446,269220,271917,276549,281722
NB,Noord-Brabant (PV),1692537,1708421,1734298,1757032,1758625,1765004,1773753,1797729,1825489,1855827
LB,Limburg (PV),713893,722020,732044,742889,745453,746199,749026,757214,767457,778929
