code,provincie,jaar,aantal
DR,Drenthe (PV),2009,1075887
DR,Drenthe (PV),2010,1089807
DR,Drenthe (PV),2011,1107545
DR,Drenthe (PV),2012,1120873
DR,Drenthe (PV),2013,1115503
DR,Drenthe (PV),2014,1116132
DR,Drenthe (PV),2015,1118047
DR,Drenthe (PV),2016,1127956
DR,Drenthe (PV),2017,1144614
DR,Drenthe (PV),2018,1160328
FL,Flevoland (PV),2009,1194082
FL,Flevoland (PV),2010,1202772
FL,Flevoland (PV),2011,1214751
FL,Flevoland (PV),2012,1250361
FL,Flevoland (PV),2013,1275292
FL,Flevoland (PV),2014,1261991
FL,Flevoland (PV),2015,1264346
FL,Flevoland (PV),2016,1304676
FL,Flevoland (PV),2017,1323268
FL,Flevoland (PV),2018,1374034
FR,Friesland (PV),2009,1318735
FR,Friesland (PV),2010,1340613
FR,Friesland (PV),2011,1359387
FR,Friesland (PV),2012,1376301
FR,Friesland (PV),2013,1384727
FR,Friesland (PV),2014,1386318
FR,Friesland (PV),2015,1394713
FR,Friesland (PV),2016,1412600
FR,Friesland (PV),2017,1438032
FR,Friesland (PV),2018,1468840
GL,Gelderland (PV),2009,3935789
GL,Gelderland (PV),2010,3989557
GL,Gelderland (PV),2011,4027623
GL,Gelderland (PV),2012,4077488
GL,Gelderland (PV),2013,4102962
GL,Gelderland (PV),2014,4102922
GL,Gelderland (PV),2015,4130085
GL,Gelderland (PV),2016,4189032
GL,Gelderland (PV),2017,4263121
GL,Gelderland (PV),2018,4352664
GR,Groningen (PV),2009,1088527
GR,Groningen (PV),2010,1103623
GR,Groningen (PV),2011,1115593
GR,Groningen (PV),2012,1127659
GR,Groningen (PV),2013,1129159
GR,Groningen (PV),2014,1126861
GR,Groningen (PV),2015,1130200
GR,Groningen (PV),2016,1140499
GR,Groningen (PV),2017,1155585
GR,Groningen (PV),2018,1174021
LB,Limburg (PV),2009,2208903
LB,Limburg (PV),2010,2233143
LB,Limburg (PV),2011,2262544
LB,Limburg (PV),2012,2294344
LB,Limburg (PV),2013,2300621
LB,Limburg (PV),2014,2301561
LB,Limburg (PV),2015,2309393
LB,Limburg (PV),2016,2334749
LB,Limburg (PV),2017,2366387
LB,Limburg (PV),2018,2401645
NED,Nederland,2009,31966080
NED,Nederland,2010,32284449
NED,Nederland,2011,32648681
NED,Nederland,2012,33034369
NED,Nederland,2013,33156756
NED,Nederland,2014,33143636
NED,Nederland,2015,33292550
NED,Nederland,2016,33758562
NED,Nederland,2017,34287412
NED,Nederland,2018,34953342
NB,Noord-Brabant (PV),2009,5265658
NB,Noord-Brabant (PV),2010,5311613
NB,Noord-Brabant (PV),2011,5388398
NB,Noord-Brabant (PV),2012,5454654
NB,Noord-Brabant (PV),2013,5453860
NB,Noord-Brabant (PV),2014,5469018
NB,Noord-Brabant (PV),2015,5493185
NB,Noord-Brabant (PV),2016,5566795
NB,Noord-Brabant (PV),2017,5655163
NB,Noord-Brabant (PV),2018,5752092
NH,Noord-Holland (PV),2009,4548477
NH,Noord-Holland (PV),2010,4561772
NH,Noord-Holland (PV),2011,4587971
NH,Noord-Holland (PV),2012,4615650
NH,Noord-Holland (PV),2013,4632200
NH,Noord-Holland (PV),2014,4632690
NH,Noord-Holland (PV),2015,4651258
NH,Noord-Holland (PV),2016,4736828
NH,Noord-Holland (PV),2017,4812198
NH,Noord-Holland (PV),2018,4887805
OV,Overijssel (PV),2009,2256980
OV,Overijssel (PV),2010,2285694
OV,Overijssel (PV),2011,2320880
OV,Overijssel (PV),2012,2353132
OV,Overijssel (PV),2013,2362408
OV,Overijssel (PV),2014,2353772
OV,Overijssel (PV),2015,2364723
OV,Overijssel (PV),2016,2394905
OV,Overijssel (PV),2017,2434535
OV,Overijssel (PV),2018,2490636
UT,Utrecht (PV),2009,2386228
UT,Utrecht (PV),2010,2408527
UT,Utrecht (PV),2011,2434136
UT,Utrecht (PV),2012,2451394
UT,Utrecht (PV),2013,2507870
UT,Utrecht (PV),2014,2505253
UT,Utrecht (PV),2015,2533853
UT,Utrecht (PV),2016,2572332
UT,Utrecht (PV),2017,2604872
UT,Utrecht (PV),2018,2665003
ZL,Zeeland (PV),2009,786393
ZL,Zeeland (PV),2010,798247
ZL,Zeeland (PV),2011,810706
ZL,Zeeland (PV),2012,822014
ZL,Zeeland (PV),2013,826985
ZL,Zeeland (PV),2014,829656
ZL,Zeeland (PV),2015,834886
ZL,Zeeland (PV),2016,843059
ZL,Zeeland (PV),2017,857884
ZL,Zeeland (PV),2018,874165
ZH,Zuid-Holland (PV),2009,5900421
ZH,Zuid-Holland (PV),2010,5959081
ZH,Zuid-Holland (PV),2011,6019147
ZH,Zuid-Holland (PV),2012,6090499
ZH,Zuid-Holland (PV),2013,6065169
ZH,Zuid-Holland (PV),2014,6057462
ZH,Zuid-Holland (PV),2015,6067861
ZH,Zuid-Holland (PV),2016,6135131
ZH,Zuid-Holland (PV),2017,6231753
ZH,Zuid-Holland (PV),2018,6352109
