;Onderwerp;Totaal alarmeringen van de brandweer;Brandalarmeringen|Alarmeringen;Brandalarmeringen|Uitrukken;Brandalarmeringen|Ter plaatse;Brandalarmeringen|Automatisch gemeld|Alarmeringen;Brandalarmeringen|Automatisch gemeld|Uitrukken;Brandalarmeringen|Automatisch gemeld|Ter plaatse;Brandalarmeringen|Telefonisch gemeld|Alarmeringen;Brandalarmeringen|Telefonisch gemeld|Uitrukken;Brandalarmeringen|Telefonisch gemeld|Ter plaatse;Hulpverleningsalarmeringen|Alarmeringen;Hulpverleningsalarmeringen|Uitrukken;Hulpverleningsalarmeringen|Ter plaatse;Bron: CBS
Regio's;Perioden;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;
Nederland;2013;157920;96600;88040;76540;55340;48080;38400;41260;39940;38140;61300;58000;54020;
Nederland;2014;150080;91160;82120;69800;52520;44760;34120;38640;37360;35680;58920;55860;52120;
Nederland;2015;152220;85000;76800;64360;46440;39420;28860;38560;37380;35500;67220;63540;58920;
Nederland;2016;141700;79540;72320;61260;40860;34800;25500;38700;37520;35760;62140;58840;54920;
Nederland;2017;139940;72980;66120;56940;34540;28980;21500;38440;37160;35440;66980;63040;59140;
Nederland;2018;148900;76020;69200;60600;31840;26560;19920;44180;42660;40680;72880;67780;63020;
Nederland;2019*;143500;72140;65620;55940;30420;25280;17720;41740;40340;38220;71360;66500;62000;
Groningen (PV);2013;3780;2360;1980;1800;1000;720;580;1360;1280;1220;1420;1300;1240;
Groningen (PV);2014;3440;2200;1800;1640;940;640;500;1260;1160;1140;1240;1120;1080;
Groningen (PV);2015;3500;2160;1800;1620;980;660;540;1180;1140;1100;1360;1240;1200;
Groningen (PV);2016;3380;2140;1800;1620;940;640;520;1200;1140;1100;1240;1120;1080;
Groningen (PV);2017;3240;1980;1620;1460;740;460;340;1220;1180;1120;1280;1180;1140;
Groningen (PV);2018;3840;2400;2060;1860;800;540;400;1600;1520;1460;1440;1320;1260;
Groningen (PV);2019*;3900;2360;2020;1820;880;600;440;1500;1420;1380;1520;1400;1340;
Friesland (PV);2013;4620;3280;2200;1920;1980;1000;720;1280;1200;1180;1340;1200;1160;
Friesland (PV);2014;4180;2940;1960;1700;1800;920;660;1140;1040;1020;1260;1120;1100;
Friesland (PV);2015;4040;2600;1680;1560;1500;680;560;1100;1000;1000;1440;1300;1280;
Friesland (PV);2016;3260;1840;1440;1380;700;420;360;1140;1040;1020;1420;1280;1260;
Friesland (PV);2017;3180;1700;1300;1280;600;320;280;1080;980;980;1500;1340;1340;
Friesland (PV);2018;3580;2060;1640;1580;640;340;300;1440;1300;1280;1520;1380;1340;
Friesland (PV);2019*;3100;1800;1420;1320;640;340;280;1160;1080;1040;1300;1180;1140;
Drenthe (PV);2013;4480;3280;2200;1840;1940;920;620;1340;1280;1220;1200;1080;1020;
Drenthe (PV);2014;4140;3120;1920;1560;2040;920;600;1080;1020;980;1020;940;880;
Drenthe (PV);2015;3600;2480;1600;1360;1460;620;440;1020;960;920;1120;1040;960;
Drenthe (PV);2016;3240;2180;1500;1340;1180;540;400;1000;960;920;1080;1000;920;
Drenthe (PV);2017;2900;1840;1340;1200;880;400;300;980;920;900;1040;960;900;
Drenthe (PV);2018;3320;2200;1700;1560;900;440;340;1320;1280;1220;1120;1040;980;
Drenthe (PV);2019*;3080;2000;1500;1340;880;420;300;1140;1080;1040;1080;980;940;
Overijssel (PV);2013;9220;6640;6280;5760;4220;3940;3480;2440;2340;2280;2580;2440;2340;
Overijssel (PV);2014;8440;6060;5720;5200;4060;3780;3360;1980;1940;1860;2400;2260;2140;
Overijssel (PV);2015;7760;4900;4540;3820;2860;2540;1920;2040;2000;1900;2860;2740;2580;
Overijssel (PV);2016;7340;4800;4460;3740;2580;2300;1680;2220;2160;2080;2540;2420;2260;
Overijssel (PV);2017;7400;4360;4120;3460;2200;2000;1420;2160;2120;2040;3040;2940;2780;
Overijssel (PV);2018;7800;4580;4340;3800;1920;1720;1260;2680;2640;2560;3200;3080;2900;
Overijssel (PV);2019*;7440;4380;4120;3480;1900;1700;1180;2480;2420;2320;3060;2960;2820;
Flevoland (PV);2013;3500;2360;2060;1440;1400;1120;560;960;940;880;1140;1100;1000;
Flevoland (PV);2014;3060;2120;1820;1380;1260;1000;600;860;840;780;940;920;840;
Flevoland (PV);2015;3200;2060;1860;1380;1220;1040;600;840;820;760;1140;1080;1000;
Flevoland (PV);2016;3100;1880;1680;1220;1040;860;460;860;820;760;1220;1180;1080;
Flevoland (PV);2017;2840;1520;1400;1140;680;580;360;840;820;780;1320;1280;1180;
Flevoland (PV);2018;3180;1740;1600;1340;660;560;340;1080;1060;1000;1440;1400;1280;
Flevoland (PV);2019*;3220;1700;1540;1220;700;580;320;980;960;900;1520;1480;1400;
Gelderland (PV);2013;16460;10360;9720;8760;5740;5280;4480;4620;4440;4300;6100;5740;5440;
Gelderland (PV);2014;14600;8780;8040;7060;4680;4060;3200;4120;3980;3860;5820;5460;5120;
Gelderland (PV);2015;15520;8300;7620;6640;4060;3500;2660;4240;4120;3960;7220;6880;6480;
