"Motorvoertuigenpark; inwoners, type, regio, 1 januari";;;;;;;;;
Perioden: 2009-2018;;;;;;;;;
Regio's;jaar;Wegvoertuigen|Totaal wegvoertuigen;Wegvoertuigen|Totaal motorvoertuigen;Personenauto's|Totaal personenauto's;Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsvoertuigen;Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsmotorvoertuigen;Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal aanhangwagens en opleggers;Motorfietsen|Totaal motorfietsen;TOTAAL
Nederland;2009;10288216;9249367;7542331;2140281;1101432;1038849;605604;31966080
Groningen (PV);2009;350643;307347;247565;79894;36598;43296;23184;1088527
Friesland (PV);2009;422204;367690;288360;106637;52123;54514;27207;1318735
Drenthe (PV);2009;346197;298462;237086;85031;37296;47735;24080;1075887
Overijssel (PV);2009;726311;635056;509362;169302;78047;91255;47647;2256980
Flevoland (PV);2009;382353;360841;300424;68535;47023;21512;13394;1194082
Gelderland (PV);2009;1266695;1119514;902215;282885;135704;147181;81595;3935789
Utrecht (PV);2009;768370;705833;584726;143655;81118;62537;39989;2386228
Noord-Holland (PV);2009;1464336;1348337;1100253;271468;155469;115999;92615;4548477
Zuid-Holland (PV);2009;1901904;1727726;1433158;368887;194709;174178;99859;5900421
Zeeland (PV);2009;252773;224563;180163;56284;28074;28210;16326;786393
Noord-Brabant (PV);2009;1692537;1512002;1228206;368582;188047;180535;95749;5265658
Limburg (PV);2009;713893;641996;530813;139121;67224;71897;43959;2208903
Nederland;2010;10396746;9340006;7622353;2150951;1094211;1056740;623442;32284449
Groningen (PV);2010;355711;311753;251368;80448;36490;43958;23895;1103623
Friesland (PV);2010;429494;373520;293345;108105;52131;55974;28044;1340613
Drenthe (PV);2010;350904;302138;240173;85861;37095;48766;24870;1089807
Overijssel (PV);2010;736009;642819;516149;170857;77667;93190;49003;2285694
Flevoland (PV);2010;385084;363039;301571;69565;47520;22045;13948;1202772
Gelderland (PV);2010;1284730;1134880;915875;285217;135367;149850;83638;3989557
Utrecht (PV);2010;775953;712399;590447;144222;80668;63554;41284;2408527
Noord-Holland (PV);2010;1469584;1351594;1103174;271010;153020;117990;95400;4561772
Zuid-Holland (PV);2010;1922122;1745662;1449910;369175;192715;176460;103037;5959081
Zeeland (PV);2010;256714;227819;182896;57000;28105;28895;16818;798247
Noord-Brabant (PV);2010;1708421;1525061;1240344;369710;186350;183360;98367;5311613
Limburg (PV);2010;722020;649322;537101;139781;67083;72698;45138;2233143
Nederland;2011;10522896;9451739;7735547;2151150;1079993;1071157;636199;32648681
